title,log_budget,popularity,runtime,release_month,release_year,genre_count,log_revenue
Iron Man,18.757152987716434,120.725053,126.0,4.0,2008.0,3,20.18742017795144
Hugo,18.951309000896888,32.319043,126.0,11.0,2011.0,3,19.04002077403029
Wild Wild West,18.951309000896888,40.748915,106.0,6.0,1999.0,5,19.21865936923679
The Mummy: Tomb of the Dragon Emperor,18.7922443072814,60.034162,112.0,7.0,2008.0,3,19.809792731831152
Suicide Squad,18.980296537602072,90.23792,123.0,8.0,2016.0,5,20.428894777686114
Evan Almighty,18.980296537602072,27.082182,96.0,6.0,2007.0,3,18.9688021582424
Edge of Tomorrow,18.997294113874336,79.456485,113.0,5.0,2014.0,2,19.73047535142669
Waterworld,18.980296537602072,44.640292,135.0,7.0,1995.0,2,19.392285914366305
G.I. Joe: The Rise of Cobra,18.980296537602072,32.852443,118.0,8.0,2009.0,4,19.52748941035519
Inside Out,18.980296537602072,128.655964,94.0,6.0,2015.0,4,20.56966137874629
The Jungle Book,18.980296537602072,94.199316,106.0,4.0,2016.0,4,20.689244210130965
Iron Man 2,19.11382792951231,77.300194,124.0,4.0,2010.0,3,20.25155408088234
Snow White and the Huntsman,18.951309000896888,77.178973,127.0,5.0,2012.0,3,19.798438776571402
Maleficent,19.00846741441004,110.620647,97.0,5.0,2014.0,5,20.44690580890392
Dawn of the Planet of the Apes,18.951309000896888,243.791743,130.0,6.0,2014.0,4,20.381682957006444
47 Ronin,18.980296537602072,41.796339,119.0,12.0,2013.0,4,18.832541860585877
Captain America: The Winter Soldier,18.951309000896888,72.225265,136.0,3.0,2014.0,3,20.387466576026245
Shrek Forever After,18.92145603792546,44.041186,93.0,5.0,2010.0,5,20.43904558945805
Tomorrowland,19.06253463538792,130.311355,130.0,5.0,2015.0,4,19.15858292501492
Big Hero 6,18.92145603792546,203.73459,102.0,10.0,2014.0,5,20.2957168307414
Wreck-It Ralph,18.92145603792546,62.341073,108.0,11.0,2012.0,4,19.970841767220247
